__type;Title;Name;Description;Adress;latitude;longitude;
VEMaps.PinData;ECOLE POLYVALENTE 10 RUE HOSPITALIERES SAINT-GERVAIS;;;10  RUE DES HOSPITALIERES SAINT-GERVAIS 75004 PARIS;48.8580814;2.3590459;
VEMaps.PinData;ECOLE POLYVALENTE 11 RUE SAINT-MERRI;;;11  RUE SAINT-MERRI 75004 PARIS;48.8593385;2.3529557;
VEMaps.PinData;MAIRIE DU 4E ARRONDISSEMENT;;;2  PLACE BAUDOYER 75004 PARIS;48.8559279;2.3553172;
VEMaps.PinData;ANNEXE MAIRIE D'ARRONDISSEMENT DU 4E BARRES;;;17  RUE DES BARRES 75004 PARIS;48.8556373;2.3555237;
VEMaps.PinData;MAISON DES ASSOCIATIONS 30 BD HENRI IV;;;38  BOULEVARD HENRI IV 75004 PARIS;48.8521964;2.3659378;
VEMaps.PinData;ESPACE D’ANIMATION DES BLANCS MANTEAUX;;;48  RUE VIEILLE DU TEMPLE 75004 PARIS;48.8582394;2.3583897;
VEMaps.PinData;LOCAL DU CONSEIL DE LA JEUNESSE RUE FRANCOIS MIRON;;;14  RUE FRANCOIS MIRON 75004 PARIS;48.8558984;2.3554569;
VEMaps.PinData;ECOLE MATERNELLE 10 RUE SOMMERARD;;;10  RUE DU SOMMERARD 75005 PARIS;48.8498332;2.3471668;
VEMaps.PinData;ECOLE MATERNELLE 15 BIS RUE BUFFON;;;15B  RUE BUFFON 75005 PARIS;48.8425674;2.3619117;
VEMaps.PinData;ECOLE MATERNELLE 22 RUE LYONNAIS;;;22  RUE DES LYONNAIS 75005 PARIS;48.8385062;2.3464906;
VEMaps.PinData;ECOLE MATERNELLE 23 RUE CUJAS;;;23  RUE CUJAS 75005 PARIS;48.8480896;2.3419078;
VEMaps.PinData;ECOLE MATERNELLE 242 RUE SAINT-JACQUES;;;242  RUE SAINT-JACQUES 75005 PARIS;48.8441489;2.3419384;
VEMaps.PinData;ECOLE MATERNELLE 27 RUE POISSY;;;27  RUE DE POISSY 75005 PARIS;48.8486511;2.3523252;
VEMaps.PinData;ECOLE MATERNELLE 29 RUE MOUFFETARD;;;29  RUE MOUFFETARD 75005 PARIS;48.8440089;2.3494211;
VEMaps.PinData;ECOLE MATERNELLE 97 RUE MOUFFETARD;;;97  RUE MOUFFETARD 75005 PARIS;48.8414567;2.3496637;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 41 RUE ARBALETE;;;41  RUE DE L' ARBALETE 75005 PARIS;48.8394534;2.3465127;
VEMaps.PinData;ANNEXE ECOLE ÉLÉMENTAIRE DU 21 RUE BUFFON;;;11  RUE BUFFON 75005 PARIS;48.8428084;2.3623568;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 10 RUE ROLLIN;;;10  RUE ROLLIN 75005 PARIS;48.8447842;2.3506583;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 14 RUE VICTOR COUSIN;;;14  RUE VICTOR COUSIN 75005 PARIS;48.8475443;2.342163;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 19 RUE BOULANGERS;;;19  RUE DES BOULANGERS 75005 PARIS;48.8458415;2.353043;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 2 RUE PIERRE BROSSOLETTE;;;2  RUE PIERRE BROSSOLETTE 75005 PARIS;48.84252;2.346568;
VEMaps.PinData;ECOLE ÉLÉMENTAIRE 21 RUE BUFFON;;;21  RUE BUFFON 75005 PARIS;48.8424743;2.3611549;
